SENIUNIJA,visi,jaunimas,vyresni_zmones,jaunimas_proc
Antakalnis,42889,20527,22362,0.4786075683741752
Fabijoniškės,37318,17117,20201,0.45867945763438556
Grigiškės,10664,4470,6194,0.41916729182295576
Justiniškės,26212,10921,15291,0.4166412330230429
Karoliniškės,24599,9737,14862,0.39582909874385136
Lazdynai,31975,14614,17361,0.45704456606724003
Naujamiestis,34461,17739,16722,0.5147558109166884
Naujininkai,35731,15895,19836,0.4448518093532227
Naujoji  Vilnia,42499,20525,21974,0.4829525400597661
Paneriai,11300,5525,5775,0.4889380530973451
Pašilaičiai,43234,23348,19886,0.5400379331082019
Pilaitė,31297,18000,13297,0.5751349969645653
Rasos,12273,5922,6351,0.48252261060865315
Senamiestis,25385,12700,12685,0.5002954500689384
Verkiai,55610,28904,26706,0.5197626326200324
Vilkpėdė,19565,8199,11366,0.4190646562739586
Viršuliškės,13819,5848,7971,0.42318546928142414
Šeškinė,29470,11723,17747,0.397794367153037
Šnipiškės,17229,8939,8290,0.5188345231876488
Žirmūnai,43842,19536,24306,0.4456001094840564
Žvėrynas,13964,7033,6931,0.5036522486393583
